Relator,Name,Number of Generators,Torsion,Abelianisation,Small Cancellation,Center,Free-by-cyclic,Geometric,Manifold,Knot,Link Exterior,Further Information,References
aaaabcBC,,3,False,Z^2+Z/4Z,False,,False,True,,,,,
aaabacbc,,3,False,Z^2+Z/2Z,False,,False,,,,,,
aaabbbcc,,3,False,Z^2,False,,False,True,,,,,
aaabbcbC,,3,False,Z^2+Z/3Z,False,,False,False,,,,,
aaabbcBC,,3,False,Z^2,False,,False,False,,,,,
aabaacbc,,3,False,Z^2+Z/2Z,False,,False,,,,,,
aabacaCB,,3,False,Z^2+Z/4Z,True,,False,,,,,,
aabacbcc,,3,False,Z^2,True,,False,False,,,,,
aabacbCB,,3,False,Z^2,True,,False,False,,,,,
aabaccBC,,3,False,Z^2,True,,False,True,,,,,
aabacACB,,3,False,Z^2+Z/2Z,True,,False,,,,,,
aabacBCB,,3,False,Z^2,True,,False,False,,,,,
aabacBCC,,3,False,Z^2,True,,False,True,,,,,
aabcbCAb,,3,False,Z^2,True,,False,True,,,,,
aabcbCAB,,3,False,Z^2,True,,False,False,,,,,
aabcBCAb,,3,False,Z^2,True,,False,True,,,,,
aabcBCAc,,3,False,Z^2,True,,False,False,,,,,
aabbccdd,"\pi_1(N_4)",4,False,Z^3+Z/2Z,True,,False,True,,,,,
abcdABCD,"\pi_1(S_2)",4,False,Z^4,True,,False,True,,,,,
aaaaaaaaa,,1,a,Z^0+Z/9Z,True,a,False,True,,,,,
aaaaaaabb,,2,False,Z^1,False,bb,True,True,,,7_1,,
aaaaaabaB,,2,False,Z^1+Z/7Z,False,,False,False,,,,,
aaaaaabbb,,2,False,Z^1+Z/3Z,False,bbb,True,True,,,,,
aaaaaabAB,,2,False,Z^1+Z/5Z,False,,False,False,,,,,
aaaaabaaB,,2,False,Z^1+Z/7Z,False,,False,False,,,,,
aaaaabaBB,,2,False,Z^1,False,,True,False,,,,,
aaaaabbaB,,2,False,Z^1,False,,True,False,,,,,
aaaaabbbb,,2,False,Z^1,False,bbbb,True,True,,,,,
aaaaabbAb,,2,False,Z^1,False,,True,False,,,,,
aaaaabbAB,,2,False,Z^1,False,,True,False,,,,,
aaaaabAbb,,2,False,Z^1,False,,True,False,,,,,
aaaaabAAB,,2,False,Z^1+Z/3Z,False,,False,False,,,,,
aaaaabABB,,2,False,Z^1,False,,True,False,,,,,
aaaabaaaB,,2,False,Z^1+Z/7Z,False,,False,False,,,,,
aaaabaaBB,,2,False,Z^1,False,,True,False,,,,,
aaaababbb,,2,False,Z^1,False,,True,False,,,,,
aaaabaBBB,,2,False,Z^1,False,,True,False,,,,,
aaaabbaaB,,2,False,Z^1,False,,True,False,,,,,
aaaabbabb,,2,False,Z^1,False,,True,True,,,,,
aaaabbaBB,,2,False,Z^1+Z/5Z,False,,False,False,,,,,
aaaabbbab,,2,False,Z^1,False,,True,False,,,,,
aaaabbbaB,,2,False,Z^1,False,,True,False,,,,,
aaaabbbAb,,2,False,Z^1,False,,True,False,,,,,
aaaabbbAB,,2,False,Z^1,False,,True,False,,,,,
aaaabbAbb,,2,False,Z^1,False,,True,True,,,,,
aaaabbAAb,,2,False,Z^1,False,,True,False,,,,,
aaaabbAAB,,2,False,Z^1,False,,True,False,,,,,
aaaabbABB,,2,False,Z^1+Z/3Z,False,,False,False,,,,,
aaaabAbbb,,2,False,Z^1,False,,True,False,,,,,
aaaabAAbb,,2,False,Z^1,False,,True,False,,,,,
aaaabAAAB,,2,False,Z^1,False,,False,False,,,,,
