Relator,Name,Number of Generators,Torsion,Abelianisation,Small Cancellation,Center,Geometric,Manifold,Knot,Link Exterior,Further Information,References
aaabbaBaBB,,2,False,Z^1,False,<>,False,,,,,
aaabbaBAbb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbaBAAb,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabbaBAAB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabbaBABB,,2,False,Z^1,False,<>,False,,,,,
aaabbaBBab,,2,False,Z^1,False,<>,False,,,,,
aaabbaBBaB,,2,False,Z^1,False,<>,False,,,,,
aaabbaBBAb,,2,False,Z^1,False,<>,False,,,,,
aaabbaBBAB,,2,False,Z^1,False,<>,False,,,,,
aaabbbaaBB,,2,False,Z^1,False,<>,False,,,,,
aaabbbaBab,,2,False,Z^1,False,<>,False,,,,,
aaabbbaBaB,,2,False,Z^1,False,<>,False,,,,,
aaabbbaBAb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbbaBAB,,2,False,Z^1,False,<>,False,,,,,
aaabbbaBBB,,2,False,Z^1+Z/4Z,False,<>,False,,,,,
aaabbbAAAB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabbbAABB,,2,False,Z^1,False,<>,False,,,,,
aaabbbABab,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbbABaB,,2,False,Z^1,False,<>,False,,,,,
aaabbbABAb,,2,False,Z^1,False,<>,False,,,,,
aaabbbABAB,,2,False,Z^1,False,<>,False,,,,,
aaabbAbaab,,2,False,Z^1+Z/4Z,False,<>,False,,,,,
aaabbAbabb,,2,False,Z^1,False,<>,False,,,,,
aaabbAbaBB,,2,False,Z^1,False,<>,False,,,,,
aaabbAbbab,,2,False,Z^1,False,<>,False,,,,,
aaabbAbbaB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbAbbAb,,2,False,Z^1,False,<>,False,,,,,
aaabbAbbAB,,2,False,Z^1,False,<>,False,,,,,
aaabbAbAbb,,2,False,Z^1,False,<>,True,m026,,,,
aaabbAbABB,,2,False,Z^1,False,<>,False,,,,,
aaabbAAbab,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabbAAAbb,,2,False,Z^1+Z/4Z,False,<>,False,,,,,
aaabbAAABB,,2,False,Z^2,False,<>,True,,,,,
aaabbAABAB,,2,False,Z^2,False,<>,False,,,,,
aaabbABabb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbABaBB,,2,False,Z^1,False,<>,False,,,,,
aaabbABAbb,,2,False,Z^1,False,<>,True,m034,,,,
aaabbABAAB,,2,False,Z^2,False,<>,False,,,,,
aaabbABABB,,2,False,Z^1,False,<>,False,,,,,
aaabbABBab,,2,False,Z^1,False,<>,False,,,,,
aaabbABBaB,,2,False,Z^1,False,<>,False,,,,,
aaabbABBAb,,2,False,Z^1,False,<>,False,,,,,
aaabbABBAB,,2,False,Z^1,False,<>,False,,,,,
aaabAbbabb,,2,False,Z^1,False,<>,False,,,,,
aaabAbbaBB,,2,False,Z^1,False,<>,False,,,,,
aaabAbbbaB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabAbbbAB,,2,False,Z^1,False,<>,False,,,,,
aaabAbbAbb,,2,False,Z^1,False,<>,False,,,,,
aaabAbbABB,,2,False,Z^1,False,<>,False,,,,,
aaabAABaBB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabAABABB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabAABBAb,,2,False,Z^2,False,<>,False,,,,,
aaabABaaBB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabABabaB,"G(1,-3)",2,False,Z^1+Z/4Z,False,<>,,,,,,
aaabABabAB,,2,False,Z^1+Z/2Z,False,<>,,,,,,
aaabABAbaB,"G(1,3)",2,False,Z^1+Z/2Z,False,<>,,,,,,
aaabABAbAB,,2,False,Z^2,False,<>,,,,,,
aaabABAABB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabABBabb,,2,False,Z^1,False,<>,False,,,,,
aaabABBaBB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabABBAbb,,2,False,Z^1,False,<>,False,,,,,
aaabABBABB,,2,False,Z^1,False,<>,False,,,,,
aaabABBBAb,,2,False,Z^1,False,<>,True,m038,,,,
aabaabaaBB,,2,False,Z^1+Z/6Z,False,<>,True,,,,,
aabaabbaaB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aabaabbaBB,,2,False,Z^1,False,<>,False,,,,,
aabaabbAbb,,2,False,Z^1,False,<>,True,m016,K3_1,,,
aabaabbAAB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aabaabbABB,,2,False,Z^1,False,<>,False,,,,,
aabaabAABB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aabaaBaabb,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aabaaBabaB,,2,False,Z^1+Z/6Z,False,<>,,,,,,
aabaaBabAB,,2,False,Z^1+Z/4Z,False,<>,,,,,,
aabaaBAbaB,,2,False,Z^1+Z/4Z,False,<>,,,,,,
aabaaBAbAB,,2,False,Z^1+Z/2Z,False,<>,,,,,,
aabaaBBabb,,2,False,Z^1,False,<>,False,,,,,
aabaaBBAbb,,2,False,Z^1,False,<>,False,,,,,
aabaaBBABB,,2,False,Z^1+Z/3Z,False,<>,True,m036,,,,
aababaBaBB,,2,False,Z^1,False,<>,False,,,,,
aababaBBaB,,2,False,Z^1,False,<>,False,,,,,
aababbaaBB,,2,False,Z^1,False,<>,False,,,,,
aababbaBaB,,2,False,Z^1,False,<>,False,,,,,
aababbAbaB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aababbAbAB,,2,False,Z^1,False,<>,False,,,,,
aababbAAbb,,2,False,Z^1,False,<>,False,,,,,
aababbAABB,,2,False,Z^1,False,<>,False,,,,,
aababbABaB,,2,False,Z^1,False,<>,False,,,,,
aababAbaBB,,2,False,Z^1,False,<>,False,,,,,
aababAbbaB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aababAbbAb,,2,False,Z^1,False,<>,False,,,,,
aababAbbAB,,2,False,Z^1,False,<>,False,,,,,
aababAbAbb,,2,False,Z^1,False,<>,False,,,,,
aababAbABB,,2,False,Z^1,False,<>,False,,,,,
aababABaBB,,2,False,Z^1,False,<>,False,,,,,
aabaBaabaB,,2,aabaB,Z^1+Z/6Z,False,<>,,,,,,
aabaBaabAB,,2,False,Z^1+Z/4Z,False,<>,,,,,,
aabaBabaBB,,2,False,Z^1,False,<>,False,,,,,
aabaBabbaB,,2,False,Z^1,False,<>,False,,,,,
aabaBabbAb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aabaBabbAB,,2,False,Z^1,False,<>,False,,,,,
aabaBabAbb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aabaBabAAB,,2,False,Z^1+Z/2Z,False,<>,,,,,,
aabaBabABB,,2,False,Z^1,False,<>,False,,,,,
aabaBaBabb,,2,False,Z^1,False,<>,False,,,,,
aabaBaBAbb,,2,False,Z^1,False,<>,False,,,,,
aabaBaBABB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aabaBaBBab,,2,False,Z^1,False,<>,False,,,,,
aabaBaBBAb,,2,False,Z^1,False,<>,False,,,,,
aabaBaBBAB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aabaBAbaBB,,2,False,Z^1,False,<>,False,,,,,
aabaBAbbaB,,2,False,Z^1,False,<>,False,,,,,
aabaBAbbAb,,2,False,Z^1,False,<>,False,,,,,
aabaBAbbAB,,2,False,Z^1,False,<>,False,,,,,
aabaBAbAbb,,2,False,Z^1,False,<>,False,,,,,
aabaBAbAAB,,2,False,Z^2,False,<>,,,,,,
aabaBAbABB,,2,False,Z^1,False,<>,False,,,,,
aabaBAAbaB,,2,False,Z^1+Z/2Z,False,<>,,,,,,
aabaBAAbAB,,2,False,Z^2,False,<>,,,,,,
aabaBABaBB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aabaBBaabb,,2,False,Z^1,False,<>,False,,,,,
aabaBBaaBB,,2,False,Z^1,False,<>,False,,,,,
aabaBBabaB,,2,False,Z^1,False,<>,False,,,,,
aabaBBabAb,,2,False,Z^1,False,<>,False,,,,,
aabaBBabAB,,2,False,Z^1,False,<>,False,,,,,
aabaBBAbaB,,2,False,Z^1,False,<>,False,,,,,
aabaBBAbAb,,2,False,Z^1,False,<>,False,,,,,
aabaBBAbAB,,2,False,Z^1,False,<>,False,,,,,
aabaBBAAbb,,2,False,Z^1,False,<>,False,,,,,
aabaBBAABB,,2,False,Z^1,False,<>,False,,,,,
aabbaabbaB,,2,False,Z^1,False,<>,False,,,,,
aabbaabbAB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aabbaabAAB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aabbaabABB,,2,False,Z^1,False,<>,False,,,,,
aabbaaBAAB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aabbaaBABB,,2,False,Z^1,False,<>,False,,,,,
aabbaaBBab,,2,False,Z^1,False,<>,False,,,,,
aabbaaBBAb,,2,False,Z^1,False,<>,False,,,,,
aabbaBabaB,,2,False,Z^1,False,<>,False,,,,,
aabbaBabAb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aabbaBabAB,,2,False,Z^1,False,<>,False,,,,,
aabbaBaBab,,2,False,Z^1,False,<>,False,,,,,
aabbaBaBAb,,2,False,Z^1,False,<>,False,,,,,
aabbaBaBAB,,2,False,Z^1,False,<>,False,,,,,
aabbaBAbaB,,2,False,Z^1,False,<>,False,,,,,
aabbaBAbAb,,2,False,Z^1,False,<>,False,,,,,
aabbaBAbAB,,2,False,Z^1,False,<>,False,,,,,
aabbaBAABB,,2,False,Z^1,False,<>,False,,,,,
aabbaBABaB,,2,False,Z^1,False,<>,False,,,,,
aabbaBBAAb,,2,False,Z^1,False,<>,False,,,,,
aabbaBBAAB,,2,False,Z^1,False,<>,False,,,,,
aabbAABaBB,,2,False,Z^1,False,<>,False,,,,,
aabbABabaB,,2,False,Z^1,False,<>,False,,,,,
aabbABabAb,,2,False,Z^1,False,<>,False,,,,,
aabbABabAB,,2,False,Z^1,False,<>,False,,,,,
aabbABaBab,,2,False,Z^1,False,<>,False,,,,,
aabbABaBAb,,2,False,Z^1,False,<>,False,,,,,
aabbABaBAB,,2,False,Z^1,False,<>,False,,,,,
aabbABAbaB,,2,False,Z^1,False,<>,False,,,,,
aabbABAbAb,,2,False,Z^1,False,<>,False,,,,,
aabbABAbAB,,2,False,Z^1,False,<>,False,,,,,
aabbABABaB,,2,False,Z^1,False,<>,False,,,,,
aabbABBAAb,,2,False,Z^1,False,<>,False,,,,,
aabAbabbaB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aabAbabbAB,,2,False,Z^1,False,<>,False,,,,,
aabAbaBBab,,2,False,Z^1,False,<>,False,,,,,
aabAbaBBAb,,2,False,Z^1,False,<>,False,,,,,
aabAbbaBAb,,2,False,Z^1,False,<>,False,,,,,
aabAbbaBAB,,2,False,Z^1,False,<>,False,,,,,
aabAbbABab,,2,False,Z^1,False,<>,False,,,,,
aabAbbABAB,,2,False,Z^1,False,<>,False,,,,,
aabAbABBAb,,2,False,Z^1,False,<>,False,,,,,
aabAABabaB,,2,False,Z^1+Z/2Z,False,<>,,,,,,
aabAABabAB,,2,False,Z^2,False,<>,,,,,,
aabABaabAB,"G(2,-2)",2,aabAB,Z^1+Z/2Z,False,<>,,,,,,
aabABabbAB,,2,False,Z^1,False,<>,False,,,,,
aabABaBBAb,,2,False,Z^1,False,<>,False,,,,,
aabABAbbAB,,2,False,Z^1,False,<>,False,,,,,
aabABAAbaB,"G(2,2)",2,False,Z^2,False,<>,,,,,,
aaaaaaaaaaa,,1,a,Z^0+Z/11Z,True,<a>,True,,,,,
aaaaaaaaabb,,2,False,Z^1,False,<baaaaabaaaaabaaaaabaaaaabaaaaabaaaaabaaaaabaaaaabbaaaabaaaabaaaabaaaabaaaabaaaabaaaabaaaab>,True,9_1,,9_1,,
aaaaaaaabaB,,2,False,Z^1+Z/9Z,False,<>,Unknown,,,,,
aaaaaaaabbb,,2,False,Z^1,False,<aaaaabbaaaaabbaaaaabbaaaaabbaaaaabbaaaaabbaaaaabbaaaaabbaaaaaaaabaaabaaabaaabaaabaaabaaabaaabaaa>,True,,,,,
aaaaaaaabAB,,2,False,Z^1+Z/7Z,False,<>,Unknown,,,,,
aaaaaaabaaB,,2,False,Z^1+Z/9Z,False,<>,Unknown,,,,,
aaaaaaabaBB,,2,False,Z^1,False,<>,False,,,,,
aaaaaaabbaB,,2,False,Z^1,False,<>,False,,,,,
aaaaaaabbbb,,2,False,Z^1,False,<aaaaabbbaaaaabbbaaaaabbbaaaaabbbaaaaabbbaaaaabbbaaaaabbbaaaaaaabaabaabaabaabaabaabaa>,True,,,,,
aaaaaaabbAb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaaaaabbAB,,2,False,Z^1,False,<>,False,,,,,
aaaaaaabAbb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaaaaabAAB,,2,False,Z^1+Z/5Z,False,<>,Unknown,,,,,
aaaaaaabABB,,2,False,Z^1,False,<>,False,,,,,
aaaaaabaaaB,,2,False,Z^1+Z/9Z,False,<>,Unknown,,,,,
aaaaaabaaBB,,2,False,Z^1,False,<>,False,,,,,
aaaaaababbb,,2,False,Z^1,False,<>,False,,,,,
aaaaaabaBBB,,2,False,Z^1,False,<>,False,,,,,
aaaaaabbaaB,,2,False,Z^1,False,<>,False,,,,,
aaaaaabbabb,,2,False,Z^1,False,<>,True,,,,,
aaaaaabbaBB,,2,False,Z^1+Z/7Z,False,<>,False,,,,,
aaaaaabbbab,,2,False,Z^1,False,<>,False,,,,,
aaaaaabbbaB,,2,False,Z^1,False,<>,False,,,,,
aaaaaabbbbb,,2,False,Z^1,False,<bbbbaaaaabbbbaaaaabbbbaaaaabbbbaaaaabbbbaaaaabbbbbababababab>,True,,,,,
aaaaaabbbAb,,2,False,Z^1,False,<>,False,,,,,
aaaaaabbbAB,,2,False,Z^1,False,<>,False,,,,,
aaaaaabbAbb,,2,False,Z^1,False,<>,True,,,,,
aaaaaabbAAb,,2,False,Z^1,False,<>,False,,,,,
aaaaaabbAAB,,2,False,Z^1,False,<>,False,,,,,
aaaaaabbABB,,2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaaaaabAbbb,,2,False,Z^1,False,<>,False,,,,,
aaaaaabAAbb,,2,False,Z^1,False,<>,False,,,,,
aaaaaabAAAB,,2,False,Z^1+Z/3Z,False,<>,Unknown,,,,,
aaaaaabAABB,,2,False,Z^1,False,<>,False,,,,,
aaaaaabABBB,,2,False,Z^1,False,<>,False,,,,,
aaaaabaaaaB,,2,False,Z^1+Z/9Z,False,<>,Unknown,,,,,
aaaaabaaaBB,,2,False,Z^1,False,<>,False,,,,,
aaaaabaabbb,,2,False,Z^1,False,<>,False,,,,,
aaaaabaaBBB,,2,False,Z^1,False,<>,False,,,,,
aaaaababaBB,,2,False,Z^1+Z/7Z,False,<>,False,,,,,
aaaaababbaB,,2,False,Z^1,False,<>,False,,,,,
aaaaababbbb,,2,False,Z^1,False,<>,False,,,,,
aaaaababbAb,,2,False,Z^1,False,<>,False,,,,,
aaaaababbAB,,2,False,Z^1,False,<>,False,,,,,
aaaaababAbb,,2,False,Z^1,False,<>,False,,,,,
aaaaababABB,,2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaaaabaBabb,,2,False,Z^1,False,<>,False,,,,,
aaaaabaBaBB,,2,False,Z^1,False,<>,False,,,,,
aaaaabaBAbb,,2,False,Z^1,False,<>,False,,,,,
aaaaabaBABB,,2,False,Z^1,False,<>,False,,,,,
aaaaabaBBab,,2,False,Z^1+Z/7Z,False,<>,True,m022,,,,
aaaaabaBBAb,,2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaaaabaBBBB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaaabbaaaB,,2,False,Z^1,False,<>,False,,,,,
aaaaabbaabb,,2,False,Z^1,False,<>,True,,,,,
aaaaabbaaBB,,2,False,Z^1+Z/7Z,False,<>,False,,,,,
aaaaabbabaB,,2,False,Z^1,False,<>,False,,,,,
aaaaabbabbb,,2,False,Z^1,False,<>,False,,,,,
aaaaabbabAb,,2,False,Z^1,False,<>,False,,,,,
aaaaabbabAB,,2,False,Z^1,False,<>,False,,,,,
aaaaabbaBab,,2,False,Z^1,False,<>,False,,,,,
aaaaabbaBAb,,2,False,Z^1,False,<>,False,,,,,
aaaaabbaBAB,,2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaaaabbaBBB,,2,False,Z^1,False,<>,False,,,,,
aaaaabbbaab,,2,False,Z^1,False,<>,False,,,,,
aaaaabbbaaB,,2,False,Z^1,False,<>,False,,,,,
aaaaabbbabb,,2,False,Z^1,False,<>,False,,,,,
aaaaabbbaBB,,2,False,Z^1,False,<>,False,,,,,
aaaaabbbbab,,2,False,Z^1,False,<>,False,,,,,
aaaaabbbbaB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaaabbbbAb,,2,False,Z^1,False,<>,False,,,,,
aaaaabbbbAB,,2,False,Z^1,False,<>,False,,,,,
aaaaabbbAbb,,2,False,Z^1,False,<>,False,,,,,
aaaaabbbAAb,,2,False,Z^1,False,<>,False,,,,,
aaaaabbbAAB,,2,False,Z^1,False,<>,False,,,,,
aaaaabbbABB,,2,False,Z^1,False,<>,False,,,,,
aaaaabbAbab,,2,False,Z^1,False,<>,False,,,,,
aaaaabbAbbb,,2,False,Z^1,False,<>,False,,,,,
aaaaabbAAbb,,2,False,Z^1,False,<>,True,,,,,
aaaaabbAAAb,,2,False,Z^1,False,<>,False,,,,,
aaaaabbAAAB,,2,False,Z^1,False,<>,False,,,,,
aaaaabbAABB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaaabbABAB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaaabbABBB,,2,False,Z^1,False,<>,False,,,,,
aaaaabAbabb,,2,False,Z^1,False,<>,False,,,,,
aaaaabAbbab,,2,False,Z^1,False,<>,False,,,,,
aaaaabAbbbb,,2,False,Z^1,False,<>,False,,,,,
aaaaabAAbbb,,2,False,Z^1,False,<>,False,,,,,
aaaaabAAAbb,,2,False,Z^1,False,<>,False,,,,,
aaaaabAAAAB,,2,False,Z^1,False,<>,Unknown,,,,,
aaaaabAAABB,,2,False,Z^1,False,<>,False,,,,,
aaaaabAABBB,,2,False,Z^1,False,<>,False,,,,,
aaaaabABaBB,,2,False,Z^1,False,<>,False,,,,,
aaaaabABABB,,2,False,Z^1,False,<>,False,,,,,
aaaaabABBAb,,2,False,Z^1+Z/3Z,False,<>,True,m023,,,,
aaaaabABBBB,,2,False,Z^1,False,<>,False,,,,,
aaaabaaaaBB,,2,False,Z^1,False,<>,True,,,,,
aaaabaaabbb,,2,False,Z^1,False,<>,False,,,,,
aaaabaaaBBB,,2,False,Z^1,False,<>,False,,,,,
aaaabaabaBB,,2,False,Z^1+Z/7Z,False,<>,False,,,,,
aaaabaabbaB,,2,False,Z^1,False,<>,False,,,,,
aaaabaabbbb,,2,False,Z^1,False,<>,False,,,,,
aaaabaabbAb,,2,False,Z^1,False,<>,False,,,,,
aaaabaabbAB,,2,False,Z^1,False,<>,False,,,,,
aaaabaabAbb,,2,False,Z^1,False,<>,False,,,,,
aaaabaabABB,,2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaaabaaBabb,,2,False,Z^1,False,<>,False,,,,,
aaaabaaBaBB,,2,False,Z^1,False,<>,False,,,,,
aaaabaaBAbb,,2,False,Z^1,False,<>,False,,,,,
aaaabaaBABB,,2,False,Z^1,False,<>,False,,,,,
aaaabaaBBab,,2,False,Z^1+Z/7Z,False,<>,False,,,,,
aaaabaaBBAb,,2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaaabaaBBBB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaababaaBB,,2,False,Z^1+Z/7Z,False,<>,False,,,,,
aaaababaBBB,,2,False,Z^1,False,<>,False,,,,,
aaaababbaaB,,2,False,Z^1,False,<>,False,,,,,
aaaababbaBB,,2,False,Z^1,False,<>,False,,,,,
aaaababbbaB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaababbbAb,,2,False,Z^1,False,<>,False,,,,,
aaaababbbAB,,2,False,Z^1,False,<>,False,,,,,
aaaababbAbb,,2,False,Z^1,False,<>,False,,,,,
aaaababbAAb,,2,False,Z^1,False,<>,False,,,,,
aaaababbAAB,,2,False,Z^1,False,<>,False,,,,,
aaaababbABB,,2,False,Z^1,False,<>,False,,,,,
aaaababAbbb,,2,False,Z^1,False,<>,False,,,,,
aaaababAAbb,,2,False,Z^1,False,<>,False,,,,,
aaaababAABB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaababABBB,,2,False,Z^1,False,<>,False,,,,,
aaaabaBaabb,,2,False,Z^1,False,<>,False,,,,,
aaaabaBaaBB,,2,False,Z^1,False,<>,False,,,,,
aaaabaBabaB,,2,False,Z^1+Z/7Z,False,<>,Unknown,,,,,
aaaabaBabbb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaabaBabAB,,2,False,Z^1+Z/5Z,False,<>,Unknown,,,,,
aaaabaBaBBB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaabaBAbaB,,2,False,Z^1+Z/5Z,False,<>,Unknown,,,,,
aaaabaBAbbb,,2,False,Z^1,False,<>,False,,,,,
aaaabaBAbAB,,2,False,Z^1+Z/3Z,False,<>,Unknown,,,,,
aaaabaBAAbb,,2,False,Z^1,False,<>,False,,,,,
aaaabaBAABB,,2,False,Z^1,False,<>,False,,,,,
aaaabaBABBB,,2,False,Z^1,False,<>,False,,,,,
aaaabaBBabb,,2,False,Z^1,False,<>,False,,,,,
aaaabaBBaBB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaabaBBAbb,,2,False,Z^1,False,<>,False,,,,,
aaaabaBBAAb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaabaBBABB,,2,False,Z^1,False,<>,False,,,,,
aaaabaBBBab,,2,False,Z^1,False,<>,True,m081,,,,
aaaabaBBBaB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaabaBBBAb,,2,False,Z^1,False,<>,False,,,,,
aaaabaBBBAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbaaabb,,2,False,Z^1,False,<aabbaaabaabbaaabABBAbABBAbaaabbaabaaabbaaaabaabaabaabaabaa>,True,,,,,
aaaabbaaaBB,,2,False,Z^1+Z/7Z,False,<>,False,,,,,
aaaabbaabaB,,2,False,Z^1,False,<>,False,,,,,
aaaabbaabbb,,2,False,Z^1,False,<>,False,,,,,
aaaabbaabAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbaabAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbaaBab,,2,False,Z^1,False,<>,False,,,,,
aaaabbaaBAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbaaBAB,,2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaaabbaaBBB,,2,False,Z^1,False,<>,False,,,,,
aaaabbabaaB,,2,False,Z^1,False,<>,False,,,,,
aaaabbabaBB,,2,False,Z^1,False,<>,False,,,,,
aaaabbabbaB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaabbabbbb,,2,False,Z^1,False,<>,False,,,,,
aaaabbabbAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbabbAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbabAbb,,2,False,Z^1,False,<>,False,,,,,
aaaabbabAAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbabAAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbabABB,,2,False,Z^1,False,<>,False,,,,,
aaaabbaBaab,,2,False,Z^1,False,<>,False,,,,,
aaaabbaBabb,,2,False,Z^1+Z/3Z,False,<>,True,,,,,
aaaabbaBaBB,,2,False,Z^1,False,<>,False,,,,,
aaaabbaBAbb,,2,False,Z^1,False,<>,False,,,,,
aaaabbaBAAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbaBAAB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaabbaBABB,,2,False,Z^1,False,<>,False,,,,,
aaaabbaBBab,,2,False,Z^1,False,<>,False,,,,,
aaaabbaBBaB,,2,False,Z^1,False,<>,False,,,,,
aaaabbaBBAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbaBBAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbaBBBB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbaaab,,2,False,Z^1,False,<>,False,,,,,
aaaabbbaaaB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbaabb,,2,False,Z^1,False,<>,False,,,,,
aaaabbbaaBB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbabaB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaabbbabbb,,2,False,Z^1,False,<>,True,,,,,
aaaabbbabAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbbabAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbaBab,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaabbbaBaB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbaBAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbbaBAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbaBBB,,2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaaabbbbaaB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaabbbbaBB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbbAAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbbABB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbAbab,,2,False,Z^1,False,<>,False,,,,,
aaaabbbAbaB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbAbbb,,2,False,Z^1+Z/3Z,False,<>,True,,,,,
aaaabbbAbAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbbAbAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbAAbb,,2,False,Z^1,False,<>,False,,,,,
aaaabbbAAAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbbAAAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbAABB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbABab,,2,False,Z^1,False,<>,False,,,,,
aaaabbbABaB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbABAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbbABAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbABBB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaabbAbaab,,2,False,Z^1,False,<>,False,,,,,
aaaabbAbabb,,2,False,Z^1,False,<>,False,,,,,
aaaabbAbaBB,,2,False,Z^1,False,<>,False,,,,,
aaaabbAbbab,,2,False,Z^1,False,<>,False,,,,,
aaaabbAbbaB,,2,False,Z^1,False,<>,False,,,,,
aaaabbAbbAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbAbbAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbAbAbb,,2,False,Z^1,False,<>,True,m047,,,,
aaaabbAbABB,,2,False,Z^1,False,<>,False,,,,,
aaaabbAAbab,,2,False,Z^1,False,<>,False,,,,,
aaaabbAAbbb,,2,False,Z^1,False,<>,False,,,,,
aaaabbAAAbb,,2,False,Z^1,False,<>,True,,,,,
aaaabbAAAAb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
